French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
genre,kind
mois,month
mettre,to put
laisse,leash
eux,them
parlé,speak
arrivé,come
longtemps,long time
pendant,while
place,square
étaient,were
voici,here is
pourrais,could
donner,give
leurs,their
corps,body
yeux,eyes
façon,way
dont,whose
perdu,lost
première,first
côté,side
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
venez,come
minutes,minutes
demandé,request
aujourd'hui,today
cause,cause
eau,water
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
fin,end
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
